filename	source	method
clean_001.txt	axios	real_readme_paragraph
clean_002.txt	axios	real_readme_paragraph
clean_003.txt	axios	real_readme_paragraph
clean_004.txt	axios	real_readme_paragraph
clean_005.txt	axios	real_readme_paragraph
clean_006.txt	pandas	real_readme_paragraph
clean_007.txt	fastapi	real_readme_paragraph
clean_008.txt	redis	real_readme_paragraph
clean_009.txt	nodejs	real_readme_paragraph
clean_010.txt	axios	real_readme_paragraph
clean_011.txt	axios	real_readme_paragraph
clean_012.txt	pandas	real_readme_paragraph
clean_013.txt	express	real_readme_paragraph
clean_014.txt	axios	real_readme_paragraph
clean_015.txt	fastapi	real_readme_paragraph
clean_016.txt	numpy	real_readme_paragraph
clean_017.txt	pandas	real_readme_paragraph
clean_018.txt	redis	real_readme_paragraph
clean_019.txt	redis	real_readme_paragraph
clean_020.txt	fastapi	real_readme_paragraph
clean_021.txt	redis	real_readme_paragraph
clean_022.txt	redis	real_readme_paragraph
clean_023.txt	nodejs	real_readme_paragraph
clean_024.txt	numpy	real_readme_paragraph
clean_025.txt	fastapi	real_readme_paragraph
clean_026.txt	fastapi	real_readme_paragraph
clean_027.txt	nodejs	real_readme_paragraph
clean_028.txt	django	real_readme_paragraph
clean_029.txt	fastapi	real_readme_paragraph
clean_030.txt	numpy	real_readme_paragraph
clean_031.txt	redis	real_readme_paragraph
clean_032.txt	nodejs	real_readme_paragraph
clean_033.txt	redis	real_readme_paragraph
clean_034.txt	pandas	real_readme_paragraph
clean_035.txt	nodejs	real_readme_paragraph
clean_036.txt	nodejs	real_readme_paragraph
clean_037.txt	redis	real_readme_paragraph
clean_038.txt	requests	real_readme_paragraph
clean_039.txt	nodejs	real_readme_paragraph
clean_040.txt	requests	real_readme_paragraph
clean_041.txt	numpy	real_readme_paragraph
clean_042.txt	fastapi	real_readme_paragraph
clean_043.txt	fastapi	real_readme_paragraph
clean_044.txt	express	real_readme_paragraph
clean_045.txt	django	real_readme_paragraph
clean_046.txt	nodejs	real_readme_paragraph
clean_047.txt	pandas	real_readme_paragraph
clean_048.txt	pandas	real_readme_paragraph
clean_049.txt	express	real_readme_paragraph
clean_050.txt	pandas	real_readme_paragraph
clean_051.txt	numpy	real_readme_paragraph
clean_052.txt	numpy	real_readme_paragraph
clean_053.txt	pandas	real_readme_paragraph
clean_054.txt	flask	real_readme_paragraph
clean_055.txt	requests	real_readme_paragraph
