filename	source	method
injection_001.txt	generated	template_generated_injection
injection_002.txt	generated	template_generated_injection
injection_003.txt	generated	template_generated_injection
injection_004.txt	generated	template_generated_injection
injection_005.txt	generated	template_generated_injection
injection_006.txt	generated	template_generated_injection
injection_007.txt	generated	template_generated_injection
injection_008.txt	generated	template_generated_injection
injection_009.txt	generated	template_generated_injection
injection_010.txt	generated	template_generated_injection
injection_011.txt	generated	template_generated_injection
injection_012.txt	generated	template_generated_injection
injection_013.txt	generated	template_generated_injection
injection_014.txt	generated	template_generated_injection
injection_015.txt	generated	template_generated_injection
authority_001.txt	generated	template_generated_authority
authority_002.txt	generated	template_generated_authority
authority_003.txt	generated	template_generated_authority
authority_004.txt	generated	template_generated_authority
authority_005.txt	generated	template_generated_authority
authority_006.txt	generated	template_generated_authority
authority_007.txt	generated	template_generated_authority
authority_008.txt	generated	template_generated_authority
authority_009.txt	generated	template_generated_authority
authority_010.txt	generated	template_generated_authority
authority_011.txt	generated	template_generated_authority
authority_012.txt	generated	template_generated_authority
authority_013.txt	generated	template_generated_authority
authority_014.txt	generated	template_generated_authority
authority_015.txt	generated	template_generated_authority
