filename	source	method
perplexity_001.txt	generated_from_base_sentence	word_order_corruption
perplexity_002.txt	generated_from_base_sentence	word_order_corruption
perplexity_003.txt	generated_from_base_sentence	word_order_corruption
perplexity_004.txt	generated_from_base_sentence	word_order_corruption
perplexity_005.txt	generated_from_base_sentence	word_order_corruption
perplexity_006.txt	generated_from_base_sentence	word_order_corruption
perplexity_007.txt	generated_from_base_sentence	word_order_corruption
perplexity_008.txt	generated_from_base_sentence	word_order_corruption
perplexity_009.txt	generated_from_base_sentence	word_order_corruption
perplexity_010.txt	generated_from_base_sentence	word_order_corruption
perplexity_011.txt	generated_from_base_sentence	word_order_corruption
perplexity_012.txt	generated_from_base_sentence	word_order_corruption
perplexity_013.txt	generated_from_base_sentence	word_order_corruption
perplexity_014.txt	generated_from_base_sentence	word_order_corruption
perplexity_015.txt	generated_from_base_sentence	word_order_corruption
